#	profile	energy	nuELumNum	nuEBarLumNum	nuELumEnergy	nuEBarLumEnergy
19	0	0	0	0	0
19	0.01	6.3981352e+43	1.681437e+43	6.3981352e+41	1.681437e+41
19	0.02	2.5591031e+44	6.384463e+43	5.1182062e+42	1.2768926e+42
19	0.03	5.7616638e+44	1.3784518e+44	1.7284992e+43	4.1353554e+42
19	0.04	1.0241508e+45	2.3558212e+44	4.0966033e+43	9.4232847e+42
19	0.05	1.6062846e+45	3.5347897e+44	8.0314231e+43	1.7673948e+43
19	0.06	2.3355774e+45	4.8814208e+44	1.4013464e+44	2.9288525e+43
19	0.07	3.2735421e+45	6.361929e+44	2.2914795e+44	4.4533503e+43
19	0.08	4.4110867e+45	7.9423221e+44	3.5288694e+44	6.3538577e+43
19	0.09	5.711575e+45	9.5887482e+44	5.1404175e+44	8.6298734e+43
19	0.1	7.1764403e+45	1.1265234e+45	7.1764403e+44	1.1265234e+44
19	0.11	8.802441e+45	1.2934022e+45	9.682685e+44	1.4227424e+44
19	0.12	1.0569904e+46	1.4553087e+45	1.2683885e+45	1.7463705e+44
19	0.13	1.2504872e+46	1.6071583e+45	1.6256334e+45	2.0893058e+44
19	0.14	1.4550331e+46	1.741178e+45	2.0370463e+45	2.4376492e+44
19	0.15	1.6708219e+46	1.854175e+45	2.5062328e+45	2.7812624e+44
19	0.16	1.8971562e+46	1.9310613e+45	3.0354499e+45	3.0896981e+44
19	0.17	2.133087e+46	1.9740863e+45	3.6262479e+45	3.3559467e+44
19	0.18	2.3775805e+46	2.0190739e+45	4.2796449e+45	3.6343329e+44
19	0.19	2.6294509e+46	2.0533563e+45	4.9959568e+45	3.9013769e+44
19	0.2	2.8878948e+46	2.0816535e+45	5.7757895e+45	4.1633071e+44
19	0.21	3.1521702e+46	2.1052153e+45	6.6195575e+45	4.4209521e+44
19	0.22	3.421081e+46	2.088998e+45	7.5263782e+45	4.5957956e+44
19	0.23	3.6933388e+46	2.0104736e+45	8.4946792e+45	4.6240894e+44
19	0.24	3.967909e+46	1.9978508e+45	9.5229817e+45	4.7948419e+44
19	0.25	4.2437915e+46	2.0249886e+45	1.0609479e+46	5.0624714e+44
19	0.26	4.5200399e+46	2.0505938e+45	1.1752104e+46	5.3315439e+44
19	0.27	4.7957524e+46	2.1071094e+45	1.2948531e+46	5.6891954e+44
19	0.28	5.0700744e+46	2.1579988e+45	1.4196208e+46	6.0423965e+44
19	0.29	5.3422e+46	2.2286157e+45	1.549238e+46	6.4629856e+44
19	0.3	5.6114066e+46	2.2958673e+45	1.683422e+46	6.887602e+44
19	0.31	5.8770095e+46	2.3721779e+45	1.8218729e+46	7.3537516e+44
19	0.32	6.1383896e+46	2.4580161e+45	1.9642847e+46	7.8656516e+44
19	0.33	6.3950002e+46	2.5355903e+45	2.1103501e+46	8.3674481e+44
19	0.34	6.6463456e+46	2.6189464e+45	2.2597575e+46	8.9044178e+44
19	0.35	6.8919919e+46	2.70832e+45	2.4121972e+46	9.4791201e+44
19	0.36	7.1315726e+46	2.7966205e+45	2.5673661e+46	1.0067834e+45
19	0.37	7.3647789e+46	2.8875812e+45	2.7249682e+46	1.0684051e+45
19	0.38	7.5913634e+46	2.978804e+45	2.8847181e+46	1.1319455e+45
19	0.39	7.8111314e+46	3.0735553e+45	3.0463412e+46	1.1986866e+45
19	0.4	8.023942e+46	3.1676843e+45	3.2095768e+46	1.2670737e+45
19	0.41	8.2297057e+46	3.2583573e+45	3.3741793e+46	1.3359265e+45
19	0.42	8.4283777e+46	3.3522082e+45	3.5399186e+46	1.4079274e+45
19	0.43	8.6199579e+46	3.4458423e+45	3.7065819e+46	1.4817122e+45
19	0.44	8.8044874e+46	3.5369983e+45	3.8739745e+46	1.5562792e+45
19	0.45	8.9820426e+46	3.6334835e+45	4.0419192e+46	1.6350676e+45
19	0.46	9.1527323e+46	3.7300626e+45	4.2102568e+46	1.7158288e+45
19	0.47	9.3166983e+46	3.826032e+45	4.3788482e+46	1.798235e+45
19	0.48	9.4741063e+46	3.9261051e+45	4.547571e+46	1.8845304e+45
19	0.49	9.6251449e+46	4.0248949e+45	4.716321e+46	1.9721985e+45
19	0.5	9.7700233e+46	4.1263542e+45	4.8850117e+46	2.0631771e+45
19	0.51	9.9090457e+46	4.2324496e+45	5.0536133e+46	2.1585493e+45
19	0.52	1.004368e+47	4.335116e+45	5.2227137e+46	2.2542603e+45
19	0.53	1.0172603e+47	4.4360054e+45	5.3914797e+46	2.3510829e+45
19	0.54	1.0296e+47	4.5396697e+45	5.5598399e+46	2.4514216e+45
19	0.55	1.0414253e+47	4.6459704e+45	5.7278393e+46	2.5552837e+45
19	0.56	1.0527242e+47	4.7519646e+45	5.8952557e+46	2.6611002e+45
19	0.57	1.063711e+47	4.8569871e+45	6.0631525e+46	2.7684826e+45
19	0.58	1.0743126e+47	4.9644064e+45	6.2310134e+46	2.8793557e+45
19	0.59	1.0845422e+47	5.072617e+45	6.398799e+46	2.9928441e+45
19	0.6	1.0944279e+47	5.1828049e+45	6.5665673e+46	3.109683e+45
19	0.61	1.1039985e+47	5.2941504e+45	6.7343909e+46	3.2294318e+45
19	0.62	1.1132863e+47	5.4053466e+45	6.9023753e+46	3.3513149e+45
19	0.63	1.1223089e+47	5.5175335e+45	7.0705463e+46	3.4760461e+45
19	0.64	1.1311049e+47	5.6310458e+45	7.2390711e+46	3.6038693e+45
19	0.65	1.1396911e+47	5.7445035e+45	7.4079922e+46	3.7339273e+45
19	0.66	1.148096e+47	5.858618e+45	7.5774333e+46	3.8666879e+45
19	0.67	1.1563652e+47	5.9740111e+45	7.7476469e+46	4.0025874e+45
19	0.68	1.1645083e+47	6.0891849e+45	7.9186564e+46	4.1406457e+45
19	0.69	1.1725434e+47	6.2033834e+45	8.0905498e+46	4.2803346e+45
19	0.7	1.1804818e+47	6.316937e+45	8.2633727e+46	4.4218559e+45
19	0.71	1.1883456e+47	6.4295068e+45	8.4372537e+46	4.5649498e+45
19	0.72	1.1961685e+47	6.5410479e+45	8.6124134e+46	4.7095545e+45
19	0.73	1.2040085e+47	6.6523271e+45	8.789262e+46	4.8561988e+45
19	0.74	1.2118049e+47	6.7625279e+45	8.9673563e+46	5.0042706e+45
19	0.75	1.2195908e+47	6.8714323e+45	9.1469308e+46	5.1535742e+45
19	0.76	1.2273845e+47	6.9794956e+45	9.3281225e+46	5.3044167e+45
19	0.77	1.2352034e+47	7.0866989e+45	9.5110661e+46	5.4567581e+45
19	0.78	1.2430608e+47	7.1926563e+45	9.6958745e+46	5.6102719e+45
19	0.79	1.2509699e+47	7.2972777e+45	9.8826625e+46	5.7648494e+45
19	0.8	1.2589426e+47	7.4007723e+45	1.007154e+47	5.9206178e+45
19	0.81	1.2669899e+47	7.5028267e+45	1.0262618e+47	6.0772896e+45
19	0.82	1.2751338e+47	7.603735e+45	1.0456097e+47	6.2350627e+45
