#	profile	energy	nuELumNum	nuEBarLumNum	nuMuLumNum	nuMuBarLumNum	nuELumEnergy	nuEBarLumEnergy	nuMuLumEnergy	nuMuBarLumEnergy
19	0	0	0	0	0	0	0	0	0
19	0.02	0	0	0	0	0	0	0	0
19	0.04	0	0	0	0	0	0	0	0
19	0.06	1.6880841e+35	1.8331674e+35	3.7347074e+34	3.7913274e+34	1.0128505e+34	1.0999004e+34	2.2408244e+33	2.2747964e+33
19	0.08	8.2384893e+39	8.2929138e+39	1.7655814e+39	1.7677053e+39	6.5907914e+38	6.6343311e+38	1.4124651e+38	1.4141643e+38
19	0.1	1.0436767e+42	1.091436e+42	2.2723883e+41	2.2910268e+41	1.0436767e+41	1.091436e+41	2.2723883e+40	2.2910268e+40
19	0.12	2.3218456e+43	2.5719717e+43	5.1810154e+42	5.2786291e+42	2.7862147e+42	3.0863661e+42	6.2172184e+41	6.3343549e+41
19	0.14	2.1003206e+44	2.5048247e+44	4.8423997e+43	5.0002607e+43	2.9404488e+43	3.5067546e+43	6.7793596e+42	7.000365e+42
19	0.16	1.106818e+45	1.4184137e+45	2.6378103e+44	2.7594131e+44	1.7709088e+44	2.2694619e+44	4.2204965e+43	4.4150609e+43
19	0.18	4.0669238e+45	5.5802615e+45	1.0014256e+45	1.0604848e+45	7.3204629e+44	1.0044471e+45	1.802566e+44	1.9088727e+44
19	0.2	1.1733438e+46	1.6854846e+46	2.9551793e+45	3.1550463e+45	2.3466876e+45	3.3709691e+45	5.9103585e+44	6.3100927e+44
19	0.22	2.8191157e+46	4.1873609e+46	7.2205503e+45	7.7545191e+45	6.2020546e+45	9.212194e+45	1.5885211e+45	1.7059942e+45
19	0.24	5.9337723e+46	8.9899864e+46	1.5352054e+46	1.6544766e+46	1.4241054e+46	2.1575967e+46	3.6844929e+45	3.9707439e+45
19	0.26	1.1215789e+47	1.7066855e+47	2.9082791e+46	3.1366216e+46	2.9161052e+46	4.4373822e+46	7.5615255e+45	8.1552162e+45
19	0.28	1.9473153e+47	2.9488428e+47	5.0368966e+46	5.4277508e+46	5.4524827e+46	8.25676e+46	1.410331e+46	1.5197702e+46
19	0.3	3.1439836e+47	4.7193486e+47	8.0958218e+46	8.7106207e+46	9.4319509e+46	1.4158046e+47	2.4287465e+46	2.6131862e+46
19	0.32	4.7806827e+47	7.0726888e+47	1.2219976e+47	1.311445e+47	1.5298185e+47	2.2632604e+47	3.9103923e+46	4.1966239e+46
19	0.34	6.8916665e+47	1.0058944e+48	1.7496395e+47	1.8732451e+47	2.3431666e+47	3.4200409e+47	5.9487745e+46	6.3690334e+46
19	0.36	9.5333879e+47	1.3634479e+48	2.3958309e+47	2.5558792e+47	3.4320196e+47	4.9084123e+47	8.6249911e+46	9.2011652e+46
19	0.38	1.2675051e+48	1.7800057e+48	3.1567463e+47	3.3567538e+47	4.8165193e+47	6.7640218e+47	1.1995636e+47	1.2755665e+47
19	0.4	1.6301355e+48	2.245482e+48	4.0216418e+47	4.2617858e+47	6.5205421e+47	8.9819282e+47	1.6086567e+47	1.7047143e+47
19	0.42	2.0371536e+48	2.7468471e+48	4.9739839e+47	5.2509475e+47	8.5560452e+47	1.1536758e+48	2.0890732e+47	2.205398e+47
19	0.44	2.4824812e+48	3.2782578e+48	6.0009868e+47	6.311545e+47	1.0922917e+48	1.4424334e+48	2.6404342e+47	2.7770798e+47
19	0.46	2.9520869e+48	3.8233519e+48	7.070625e+47	7.4106432e+47	1.35796e+48	1.7587419e+48	3.2524875e+47	3.4088959e+47
19	0.48	3.4405149e+48	4.3660516e+48	8.161959e+47	8.5231571e+47	1.6514472e+48	2.0957048e+48	3.9177403e+47	4.0911154e+47
19	0.5	3.9384753e+48	4.9026847e+48	9.2600404e+47	9.6363309e+47	1.9692376e+48	2.4513423e+48	4.6300202e+47	4.8181654e+47
19	0.52	4.4388353e+48	5.413254e+48	1.0338387e+48	1.0718662e+48	2.3081943e+48	2.8148921e+48	5.3759612e+47	5.5737042e+47
19	0.54	4.9217415e+48	5.8905497e+48	1.136561e+48	1.1743696e+48	2.6577404e+48	3.1808969e+48	6.1374296e+47	6.3415957e+47
